abs_x=946.5, abs_y=1196.5, text='M'05' (conf=0.23)
abs_x=1254.5, abs_y=1199.0, text='2.0' (conf=0.74)
abs_x=1621.5, abs_y=1203.0, text='40' (conf=0.39)
abs_x=1707.5, abs_y=1213.5, text='teq' (conf=0.42)
abs_x=1114.0, abs_y=1204.0, text='Y0' (conf=0.39)
abs_x=2332.5, abs_y=1226.0, text='50 (Si' (conf=0.48)
abs_x=1881.5, abs_y=1227.5, text='4.36' (conf=0.46)
abs_x=1462.0, abs_y=1223.0, text='9662' (conf=0.66)
abs_x=2513.0, abs_y=1233.5, text='144' (conf=0.95)
abs_x=230.5, abs_y=1272.5, text='4' (conf=0.25)
abs_x=2125.5, abs_y=1243.0, text='T41' (conf=0.22)
abs_x=399.0, abs_y=1264.0, text='24' (conf=0.51)
abs_x=570.0, abs_y=1274.5, text='04' (conf=0.20)
abs_x=757.0, abs_y=1277.5, text='/li 06' (conf=0.41)
abs_x=1417.5, abs_y=1275.0, text='&1>' (conf=0.39)
abs_x=1658.5, abs_y=1300.0, text='yelo' (conf=0.27)
abs_x=2075.0, abs_y=1288.5, text='KETL' (conf=0.29)
abs_x=939.0, abs_y=1287.5, text='1' 5F' (conf=0.19)
abs_x=1094.0, abs_y=1289.5, text='9|' (conf=0.52)
abs_x=1877.5, abs_y=1298.5, text='4*38' (conf=0.73)
abs_x=1251.0, abs_y=1297.0, text='2.8' (conf=0.43)
abs_x=2276.5, abs_y=1302.0, text='5s' (conf=0.47)
abs_x=2357.5, abs_y=1314.5, text='ko' (conf=0.45)
abs_x=2508.5, abs_y=1323.5, text='04 2' (conf=0.96)
abs_x=224.0, abs_y=1348.5, text='726' (conf=0.50)
abs_x=1442.5, abs_y=1317.0, text='244o' (conf=0.14)
abs_x=2103.5, abs_y=1332.0, text='L3ZL' (conf=0.09)
abs_x=375.5, abs_y=1337.0, text='229' (conf=0.99)
abs_x=1428.5, abs_y=1364.0, text='81' (conf=0.22)
abs_x=1652.0, abs_y=1394.5, text='4cl4z' (conf=0.16)
abs_x=588.0, abs_y=1371.5, text='1(8' (conf=0.51)
abs_x=451.0, abs_y=1367.5, text='2c8' (conf=0.18)
abs_x=1102.5, abs_y=1377.0, text='65' (conf=0.93)
abs_x=2087.5, abs_y=1379.0, text='(7' (conf=0.12)
abs_x=765.0, abs_y=1382.5, text='14' (conf=0.09)
abs_x=2314.0, abs_y=1400.5, text='50 [c' (conf=0.56)
abs_x=928.5, abs_y=1385.5, text='L0' (conf=0.12)
abs_x=1256.5, abs_y=1392.0, text='2.8' (conf=0.52)
abs_x=2510.5, abs_y=1416.0, text='l4b' (conf=0.08)
abs_x=1863.5, abs_y=1409.5, text='426' (conf=0.57)
abs_x=1451.5, abs_y=1408.0, text='8U' (conf=0.56)
abs_x=242.5, abs_y=1452.0, text='B43' (conf=0.12)
abs_x=2129.5, abs_y=1429.0, text='47t' (conf=0.14)
abs_x=158.5, abs_y=1429.0, text='1' (conf=0.95)
abs_x=376.0, abs_y=1431.0, text='2' (conf=0.27)
abs_x=1407.0, abs_y=1462.5, text='14,,5' (conf=0.22)
abs_x=1658.0, abs_y=1485.0, text='yolu4' (conf=0.30)
abs_x=909.0, abs_y=1477.0, text='[c4Lsclz' (conf=0.12)
abs_x=2065.0, abs_y=1464.5, text='762' (conf=0.81)
abs_x=601.5, abs_y=1466.5, text='20' (conf=0.73)
abs_x=407.5, abs_y=1474.0, text='2207' (conf=0.55)
abs_x=534.0, abs_y=1471.0, text='1' (conf=0.92)
abs_x=2275.5, abs_y=1484.5, text='J~' (conf=0.27)
abs_x=1874.5, abs_y=1494.0, text='4,%' (conf=0.80)
abs_x=1256.5, abs_y=1493.0, text='20' (conf=1.00)
abs_x=2100.0, abs_y=1506.0, text='7nze' (conf=0.11)
abs_x=1461.0, abs_y=1507.0, text='309' (conf=0.58)
abs_x=206.0, abs_y=1540.5, text='I4s' (conf=0.10)
abs_x=2529.5, abs_y=1517.0, text='Jy %' (conf=0.78)
abs_x=391.5, abs_y=1544.5, text='25' (conf=0.55)
abs_x=1422.0, abs_y=1541.5, text='8.12' (conf=0.48)
abs_x=1655.5, abs_y=1573.5, text='4/4e' (conf=0.57)
abs_x=2068.5, abs_y=1557.5, text='JLI' (conf=0.47)
abs_x=595.0, abs_y=1557.0, text='Jos' (conf=0.42)
abs_x=1095.0, abs_y=1576.0, text='blt' (conf=0.23)
